,article_bias_prediction,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,parliament_speeches_2024,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20,average
dataset_benchmark/leave_one_in/bert-large-cased/article_bias_prediction,470 / 1000 (47 %),447 / 1000 (45 %),341 / 1000 (34 %),255 / 612 (42 %),310 / 1000 (31 %),429 / 1000 (43 %),393 / 1000 (39 %),437 / 1000 (44 %),488 / 1000 (49 %),261 / 1000 (26 %),433 / 1000 (43 %),471 / 1000 (47 %),4265 / 10612 (40 %)
dataset_benchmark/leave_one_in/bert-large-cased/commoncrawl_news_articles,442 / 1000 (44 %),574 / 1000 (57 %),75 / 1000 (8 %),193 / 612 (32 %),86 / 1000 (9 %),418 / 1000 (42 %),258 / 1000 (26 %),431 / 1000 (43 %),440 / 1000 (44 %),254 / 1000 (25 %),374 / 1000 (37 %),403 / 1000 (40 %),3374 / 10612 (32 %)
dataset_benchmark/leave_one_in/bert-large-cased/dem_rep_party_platform_topics,516 / 1000 (52 %),381 / 1000 (38 %),637 / 1000 (64 %),216 / 434 (50 %),684 / 1000 (68 %),411 / 1000 (41 %),519 / 1000 (52 %),487 / 1000 (49 %),524 / 1000 (52 %),511 / 1000 (51 %),577 / 1000 (58 %),456 / 1000 (46 %),5282 / 10434 (51 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_bias,384 / 1000 (38 %),304 / 1000 (30 %),470 / 1000 (47 %),571 / 612 (93 %),543 / 1000 (54 %),377 / 1000 (38 %),523 / 1000 (52 %),514 / 1000 (51 %),507 / 1000 (51 %),311 / 1000 (31 %),411 / 1000 (41 %),385 / 1000 (38 %),4729 / 11000 (43 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_ideologies,461 / 1000 (46 %),577 / 1000 (58 %),560 / 1000 (56 %),361 / 434 (83 %),975 / 1000 (98 %),568 / 1000 (57 %),494 / 1000 (49 %),507 / 1000 (51 %),530 / 1000 (53 %),532 / 1000 (53 %),487 / 1000 (49 %),526 / 1000 (53 %),5603 / 10434 (54 %)
dataset_benchmark/leave_one_in/bert-large-cased/media_political_stance,563 / 1000 (56 %),601 / 1000 (60 %),479 / 1000 (48 %),185 / 434 (43 %),508 / 1000 (51 %),746 / 1000 (75 %),481 / 1000 (48 %),503 / 1000 (50 %),501 / 1000 (50 %),596 / 1000 (60 %),513 / 1000 (51 %),534 / 1000 (53 %),5464 / 10434 (52 %)
dataset_benchmark/leave_one_in/bert-large-cased/parliament_speeches_2024,494 / 1000 (49 %),524 / 1000 (52 %),529 / 1000 (53 %),157 / 434 (36 %),484 / 1000 (48 %),575 / 1000 (57 %),676 / 1000 (68 %),481 / 1000 (48 %),441 / 1000 (44 %),591 / 1000 (59 %),448 / 1000 (45 %),541 / 1000 (54 %),5265 / 10434 (50 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_podcasts,483 / 1000 (48 %),624 / 1000 (62 %),482 / 1000 (48 %),252 / 434 (58 %),534 / 1000 (53 %),603 / 1000 (60 %),524 / 1000 (52 %),976 / 1000 (98 %),500 / 1000 (50 %),515 / 1000 (52 %),440 / 1000 (44 %),530 / 1000 (53 %),5487 / 10434 (53 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_tweets,519 / 1000 (52 %),538 / 1000 (54 %),484 / 1000 (48 %),275 / 434 (63 %),524 / 1000 (52 %),474 / 1000 (47 %),435 / 1000 (44 %),480 / 1000 (48 %),634 / 1000 (63 %),477 / 1000 (48 %),523 / 1000 (52 %),507 / 1000 (51 %),5236 / 10434 (50 %)
dataset_benchmark/leave_one_in/bert-large-cased/qbias,384 / 1000 (38 %),309 / 1000 (31 %),409 / 1000 (41 %),273 / 612 (45 %),452 / 1000 (45 %),376 / 1000 (38 %),476 / 1000 (48 %),468 / 1000 (47 %),476 / 1000 (48 %),342 / 1000 (34 %),405 / 1000 (40 %),383 / 1000 (38 %),4411 / 10612 (42 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_bias_flipper_18,424 / 1000 (42 %),364 / 1000 (36 %),452 / 1000 (45 %),250 / 612 (41 %),498 / 1000 (50 %),427 / 1000 (43 %),438 / 1000 (44 %),504 / 1000 (50 %),507 / 1000 (51 %),322 / 1000 (32 %),632 / 1000 (63 %),488 / 1000 (49 %),4674 / 10612 (44 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_news_bias_20,413 / 1000 (41 %),378 / 1000 (38 %),437 / 1000 (44 %),249 / 612 (41 %),475 / 1000 (48 %),356 / 1000 (36 %),502 / 1000 (50 %),487 / 1000 (49 %),505 / 1000 (50 %),272 / 1000 (27 %),422 / 1000 (42 %),601 / 1000 (60 %),4496 / 10612 (42 %)
